alpha,precision,recall,mrr
0.0,0.4599999999999999,0.4599999999999999,0.6727777777777777
0.1,0.4599999999999999,0.4599999999999999,0.6783333333333332
0.2,0.47333333333333333,0.47333333333333333,0.6911111111111111
0.30000000000000004,0.4733333333333333,0.4733333333333333,0.741111111111111
0.4,0.4933333333333334,0.4933333333333334,0.7999999999999999
0.5,0.5,0.5,0.8333333333333334
0.6000000000000001,0.48000000000000004,0.48000000000000004,0.8166666666666667
0.7000000000000001,0.4466666666666666,0.4466666666666666,0.7388888888888888
0.8,0.39333333333333337,0.39333333333333337,0.6972222222222222
0.9,0.3733333333333333,0.3733333333333333,0.6677777777777777
1.0,0.3666666666666666,0.3666666666666666,0.6611111111111111
