language,tokenizer,context_window,fertility_mean,words_in_context,words_fr_same_ctx,pct_context_lost
Fongbé,tiktoken,4096,4.05,1011,1809,44.1
Fongbé,tiktoken,8192,4.05,2022,3619,44.1
Fongbé,tiktoken,32768,4.05,8090,14479,44.1
Français,tiktoken,4096,2.26,1809,1809,0.0
Français,tiktoken,8192,2.26,3619,3619,0.0
Français,tiktoken,32768,2.26,14479,14479,0.0
Swahili,tiktoken,4096,4.12,994,1809,45.0
Swahili,tiktoken,8192,4.12,1989,3619,45.0
Swahili,tiktoken,32768,4.12,7957,14479,45.0
Wolof,tiktoken,4096,3.0,1365,1809,24.6
Wolof,tiktoken,8192,3.0,2730,3619,24.6
Wolof,tiktoken,32768,3.0,10922,14479,24.6
Yoruba,tiktoken,4096,6.58,622,1809,65.6
Yoruba,tiktoken,8192,6.58,1245,3619,65.6
Yoruba,tiktoken,32768,6.58,4982,14479,65.6
Fongbé,sentencepiece,4096,3.63,1128,1790,37.0
Fongbé,sentencepiece,8192,3.63,2256,3580,37.0
Fongbé,sentencepiece,32768,3.63,9024,14321,37.0
Français,sentencepiece,4096,2.29,1790,1790,0.0
Français,sentencepiece,8192,2.29,3580,3580,0.0
Français,sentencepiece,32768,2.29,14321,14321,0.0
Swahili,sentencepiece,4096,2.75,1486,1790,17.0
Swahili,sentencepiece,8192,2.75,2973,3580,17.0
Swahili,sentencepiece,32768,2.75,11894,14321,17.0
Wolof,sentencepiece,4096,2.84,1442,1790,19.4
Wolof,sentencepiece,8192,2.84,2885,3580,19.4
Wolof,sentencepiece,32768,2.84,11542,14321,19.4
Yoruba,sentencepiece,4096,3.0,1366,1790,23.7
Yoruba,sentencepiece,8192,3.0,2732,3580,23.7
Yoruba,sentencepiece,32768,3.0,10929,14321,23.7
